pattern_type,time_dimension,time_label,total_edits,unique_contributors,minor_edits,avg_article_length,date
MONTHLY_TREND,200511,2005-11,1658726,43210,665042,14269.253141869125,2005-11-01
MONTHLY_TREND,200512,2005-12,2380053,61757,831703,14595.941823984598,2005-12-01
MONTHLY_TREND,200601,2006-01,2752122,70302,932557,15789.104168347181,2006-01-01
MONTHLY_TREND,200602,2006-02,2713758,78403,953410,15966.398193575116,2006-02-01
MONTHLY_TREND,200603,2006-03,3151501,94049,1097465,15299.274337212644,2006-03-01
MONTHLY_TREND,200604,2006-04,3007549,97315,969194,15780.509075995094,2006-04-01
MONTHLY_TREND,200605,2006-05,3417744,108621,1088157,16659.234823029445,2006-05-01
MONTHLY_TREND,200606,2006-06,3503300,110593,1092509,16984.88370793256,2006-06-01
MONTHLY_TREND,200607,2006-07,3701247,118418,1135807,17272.847888562963,2006-07-01
MONTHLY_TREND,200608,2006-08,4235788,134329,1261936,15581.585892636738,2006-08-01
MONTHLY_TREND,200609,2006-09,3738323,135536,1168496,16998.835331243445,2006-09-01
MONTHLY_TREND,200610,2006-10,4026733,145868,1272718,16998.060460676188,2006-10-01
MONTHLY_TREND,200611,2006-11,4093385,158704,1256916,16508.363135155858,2006-11-01
MONTHLY_TREND,200612,2006-12,4235073,160090,1329740,17661.09133419897,2006-12-01
MONTHLY_TREND,200701,2007-01,4704931,175740,1446692,17860.33255705558,2007-01-01
MONTHLY_TREND,200702,2007-02,4635761,180118,1492225,17934.543855906297,2007-02-01
MONTHLY_TREND,200703,2007-03,5082953,192883,1606943,17094.891392070705,2007-03-01
MONTHLY_TREND,200704,2007-04,5170459,188323,1680572,17137.99269890736,2007-04-01
MONTHLY_TREND,200705,2007-05,5037820,182635,1670567,18289.92228801346,2007-05-01
MONTHLY_TREND,200706,2007-06,4549937,159565,1318826,18080.486905642865,2007-06-01
MONTHLY_TREND,200707,2007-07,4565292,161892,1211884,18464.25491578633,2007-07-01
MONTHLY_TREND,200708,2007-08,4495814,161584,1212242,18543.788127355794,2007-08-01
MONTHLY_TREND,200709,2007-09,4414130,165152,1276971,18526.129643440483,2007-09-01
MONTHLY_TREND,200710,2007-10,4691118,173827,1432434,18756.973149257847,2007-10-01
MONTHLY_TREND,200711,2007-11,4461085,163756,1382061,18606.128535771004,2007-11-01
MONTHLY_TREND,200712,2007-12,4477806,150106,1408542,18937.143741600245,2007-12-01
MONTHLY_TREND,200801,2008-01,4907004,167009,1450865,19536.11498665988,2008-01-01
MONTHLY_TREND,200802,2008-02,4706040,167816,1476000,20625.583667797124,2008-02-01
MONTHLY_TREND,200803,2008-03,5247915,175802,1615086,19149.354791569585,2008-03-01
MONTHLY_TREND,200804,2008-04,4830997,172774,1537442,20525.43647160201,2008-04-01
MONTHLY_TREND,200805,2008-05,4843659,168730,1552234,20397.554607374295,2008-05-01
MONTHLY_TREND,200806,2008-06,4642142,151216,1438258,19747.547614657196,2008-06-01
MONTHLY_TREND,200807,2008-07,4626139,149706,1376016,19276.37747698459,2008-07-01
MONTHLY_TREND,200808,2008-08,4624502,149454,1462599,19517.99219570021,2008-08-01
MONTHLY_TREND,200809,2008-09,4803906,152509,1430345,19382.666049252413,2008-09-01
MONTHLY_TREND,200810,2008-10,4803511,161760,1518061,18448.55527925302,2008-10-01
MONTHLY_TREND,200811,2008-11,4434394,154258,1388275,18595.555116212046,2008-11-01
MONTHLY_TREND,200812,2008-12,4424984,149094,1401011,19238.53156327797,2008-12-01
MONTHLY_TREND,200901,2009-01,4700397,161670,1479659,20735.489174637798,2009-01-01
MONTHLY_TREND,200902,2009-02,4465824,156864,1547947,19066.88701122123,2009-02-01
MONTHLY_TREND,200903,2009-03,5057623,164704,1634848,18499.46637600313,2009-03-01
MONTHLY_TREND,200904,2009-04,4469849,155986,1427932,19710.289766388054,2009-04-01
MONTHLY_TREND,200905,2009-05,4756487,159120,1515893,19248.38741407261,2009-05-01
MONTHLY_TREND,200906,2009-06,4401096,151863,1372677,19980.79918320347,2009-06-01
MONTHLY_TREND,200907,2009-07,4253828,148984,1320107,20437.90096731696,2009-07-01
MONTHLY_TREND,200908,2009-08,4319153,149174,1329223,21005.453851252798,2009-08-01
MONTHLY_TREND,200909,2009-09,4483435,149370,1618612,19223.102942275294,2009-09-01
MONTHLY_TREND,200910,2009-10,4372859,156734,1521420,20464.2863618516,2009-10-01
MONTHLY_TREND,200911,2009-11,4178234,155391,1488978,20441.675549765743,2009-11-01
MONTHLY_TREND,200912,2009-12,4838554,147706,2172613,18174.711496451197,2009-12-01
MONTHLY_TREND,201001,2010-01,4393092,159226,1413428,21073.691165584514,2010-01-01
MONTHLY_TREND,201002,2010-02,188617,18462,58690,21488.792791742006,2010-02-01
